Q2 complemento - tema mais atuante por deputado no periodo 2023-2026
Tema mais atuante por deputado - consolidado
id_deputado |                                nome |                           tema_mais_atuante | qtd_proposicoes | proposicoes_aprovadas
     220702 |                      Geraldo Mendes |               Finanças Públicas e Orçamento |              22 |                     0
     220559 |                       Julia Zanatta |                          Defesa e Segurança |              22 |                     0
     220559 |                       Julia Zanatta |                 Direitos Humanos e Minorias |              22 |                     0
     220648 |                           Marangoni |               Finanças Públicas e Orçamento |              22 |                     0
     160161 |                     Marcelo Queiroz | Meio Ambiente e Desenvolvimento Sustentável |              22 |                     0
     220655 |                         Mario Frias |                          Defesa e Segurança |              22 |                     0
     221338 |       Professora Luciene Cavalcante |                                    Educação |              21 |                     1
     220531 |                       Gilvan Maximo |               Finanças Públicas e Orçamento |              21 |                     0
     220657 |                     André Fernandes |                 Direitos Humanos e Minorias |              20 |                     1
     220657 |                     André Fernandes |            Direito Penal e Processual Penal |              20 |                     0
     204374 |                           Bia Kicis |                          Defesa e Segurança |              20 |                     0
     204488 |                       Célio Studart | Meio Ambiente e Desenvolvimento Sustentável |              20 |                     0
     204457 |                     Juninho do Pneu |                 Direitos Humanos e Minorias |              20 |                     0
     178843 |                        Marx Beltrão |                 Direitos Humanos e Minorias |              20 |                     0
     220667 |                        Pedro Campos |                 Direitos Humanos e Minorias |              20 |                     0
      73486 |                    Pompeo de Mattos |               Finanças Públicas e Orçamento |              20 |                     0
     204387 |                      Sargento Fahur |                          Defesa e Segurança |              20 |                     0
     139285 |                      Lídice da Mata |                 Direitos Humanos e Minorias |              19 |                     1
     160518 |                       Weliton Prado |                                       Saúde |              19 |                     1
     220526 |                   Gilvan da Federal |                          Defesa e Segurança |              19 |                     0
     220586 |                        Rafael Brito |                                    Educação |              19 |                     0
     204416 |                           Sanderson |                          Defesa e Segurança |              19 |                     0
     220598 |                      Tarcísio Motta |                 Direitos Humanos e Minorias |              19 |                     0
     220598 |                      Tarcísio Motta |                                    Educação |              19 |                     0
     204411 |                       Filipe Barros |               Finanças Públicas e Orçamento |              18 |                     1
     220529 |                       Gilson Daniel |               Finanças Públicas e Orçamento |              18 |                     1
     204464 |                     Talíria Petrone |                 Direitos Humanos e Minorias |              18 |                     1
     160512 |                       Aureo Ribeiro |               Finanças Públicas e Orçamento |              18 |                     0
     222142 |                     Coronel Telhada |                          Defesa e Segurança |              18 |                     0
     204411 |                       Filipe Barros |                                    Economia |              18 |                     0
      72442 |                     Felipe Carreras |               Finanças Públicas e Orçamento |              17 |                     1
     137070 |                   Vicentinho Júnior |               Finanças Públicas e Orçamento |              17 |                     1
     220593 |                      Abilio Brunini |                                       Saúde |              17 |                     0
     204388 |                          Bibo Nunes |                          Defesa e Segurança |              17 |                     0
     220594 |                       Coronel Assis |                          Defesa e Segurança |              17 |                     0
     220608 |                     Cristiane Lopes |                          Defesa e Segurança |              17 |                     0
     220705 |                    Deltan Dallagnol |                       Administração Pública |              17 |                     0
     161440 |                             Pezenti |  Processo Legislativo e Atuação Parlamentar |              17 |                     0
